%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695950716264836234,18,12516000000000,GPS1_Frame,42.33902333333333,-71.08843166666666,39.2,327958.55891399813,4689530.986076393,19,T
1695950717285317540,19,12517000000000,GPS1_Frame,42.33902,-71.08843666666667,39.0,327958.137914381,4689530.626051783,19,T
1695950718278404875,20,12518000000000,GPS1_Frame,42.339015,-71.08844666666667,38.5,327957.3004605004,4689530.091073308,19,T
1695950719262868779,21,12519000000000,GPS1_Frame,42.33901,-71.088455,38.1,327956.6003094212,4689529.552722649,19,T
1695950720280362840,22,12520000000000,GPS1_Frame,42.339011666666664,-71.08845333333333,38.0,327956.7421578433,4689529.734421045,19,T
1695950721278105233,23,12521000000000,GPS1_Frame,42.339011666666664,-71.08845333333333,38.0,327956.7421578433,4689529.734421045,19,T
1695950722276780765,24,12522000000000,GPS1_Frame,42.339011666666664,-71.08845333333333,38.0,327956.7421578433,4689529.734421045,19,T
1695950723276198806,25,12523000000000,GPS1_Frame,42.33901,-71.08846166666666,37.5,327956.051097709,4689529.566211793,19,T
1695950724258158311,26,12524000000000,GPS1_Frame,42.33900666666667,-71.08846833333334,37.1,327955.49279494124,4689529.209559626,19,T
1695950725275178917,27,12525000000000,GPS1_Frame,42.339005,-71.08847166666666,37.1,327955.21364353783,4689529.03123356,19,T
1695950726277585004,28,12526000000000,GPS1_Frame,42.33900333333333,-71.088475,36.9,327954.93449211575,4689528.852907503,19,T
1695950727286861288,29,12527000000000,GPS1_Frame,42.33900333333333,-71.088475,36.6,327954.93449211575,4689528.852907503,19,T
1695950728286313052,30,12528000000000,GPS1_Frame,42.33900666666667,-71.088475,36.2,327954.9435831995,4689529.2230488565,19,T
1695950729286074343,31,12529000000000,GPS1_Frame,42.33900833333333,-71.08847333333334,35.8,327955.0854316745,4689529.404747223,19,T
1695950730286635386,32,12530000000000,GPS1_Frame,42.339011666666664,-71.08847166666666,35.6,327955.23182567745,4689529.771516266,19,T
1695950731267368678,33,12531000000000,GPS1_Frame,42.339011666666664,-71.08847166666666,35.3,327955.23182567745,4689529.771516266,19,T
1695950732267926021,34,12532000000000,GPS1_Frame,42.339011666666664,-71.08847166666666,35.2,327955.23182567745,4689529.771516266,19,T
1695950733266248540,35,12533000000000,GPS1_Frame,42.33901,-71.08847166666666,35.0,327955.22728014237,4689529.5864455905,19,T
1695950734264837079,36,12534000000000,GPS1_Frame,42.339011666666664,-71.08846833333334,34.7,327955.5064315244,4689529.764771657,19,T
1695950735285385725,37,12535000000000,GPS1_Frame,42.339011666666664,-71.08846666666666,34.3,327955.6437344499,4689529.761399356,19,T
1695950736285856485,38,12536000000000,GPS1_Frame,42.339013333333334,-71.08846666666666,33.8,327955.64827997435,4689529.946470033,19,T
