%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.indicator,field.utm_easting,field.utm_northing,field.zone,field.letter
1697041045604533794,1,58645000000000,GPS1_Frame,42.337486267089844,-71.05257415771484,1.823699951171875,5.0,6693.6796875,46742.96484375,42.0,T
1697041046633180087,2,58646000000000,GPS1_Frame,42.33749008178711,-71.05256652832031,1.835379958152771,5.0,6693.6767578125,46742.96875,42.0,T
1697041047675779685,3,58647000000000,GPS1_Frame,42.33747482299805,-71.05258178710938,1.81181001663208,5.0,6693.68359375,46742.95703125,42.0,T
1697041048708026451,4,58648000000000,GPS1_Frame,42.33747863769531,-71.05257415771484,1.8225200176239014,5.0,6693.6806640625,46742.95703125,42.0,T
1697041049739911688,5,58649000000000,GPS1_Frame,42.337486267089844,-71.05256652832031,1.8394099473953247,5.0,6693.67578125,46742.96484375,42.0,T
1697041050772763864,6,58650000000000,GPS1_Frame,42.33747863769531,-71.05256652832031,1.8354899883270264,5.0,6693.67724609375,46742.9609375,42.0,T
1697041051808287042,7,58651000000000,GPS1_Frame,42.33747100830078,-71.05257415771484,1.8225899934768677,5.0,6693.68017578125,46742.953125,42.0,T
1697041052850216928,8,58652000000000,GPS1_Frame,42.337459564208984,-71.05258178710938,1.8138200044631958,5.0,6693.68310546875,46742.94921875,42.0,T
1697041053882108060,9,58653000000000,GPS1_Frame,42.337459564208984,-71.05258178710938,1.8147499561309814,5.0,6693.6826171875,46742.9453125,42.0,T
1697041054916493978,10,58654000000000,GPS1_Frame,42.33745193481445,-71.05258178710938,1.8085500001907349,5.0,6693.6845703125,46742.94140625,42.0,T
1697041055949461630,11,58655000000000,GPS1_Frame,42.33744430541992,-71.0525894165039,1.8042700290679932,5.0,6693.685546875,46742.9375,42.0,T
1697041056985645357,12,58656000000000,GPS1_Frame,42.337440490722656,-71.0525894165039,1.8039799928665161,5.0,6693.685546875,46742.93359375,42.0,T
1697041058027984386,13,58657000000000,GPS1_Frame,42.33743667602539,-71.0525894165039,1.8017699718475342,5.0,6693.6865234375,46742.9296875,42.0,T
1697041059061167014,14,58658000000000,GPS1_Frame,42.337432861328125,-71.0525894165039,1.8000199794769287,5.0,6693.6875,46742.92578125,42.0,T
1697041060093592427,15,58659000000000,GPS1_Frame,42.337425231933594,-71.0525894165039,1.798550009727478,5.0,6693.68798828125,46742.92578125,42.0,T
1697041061126168540,16,58660000000000,GPS1_Frame,42.33742141723633,-71.0525894165039,1.7978099584579468,5.0,6693.6884765625,46742.921875,42.0,T
1697041062158330142,17,58661000000000,GPS1_Frame,42.33741760253906,-71.0525894165039,1.7971500158309937,5.0,6693.68896484375,46742.91796875,42.0,T
1697041063191581406,18,58662000000000,GPS1_Frame,42.3374137878418,-71.0525894165039,1.7970800399780273,5.0,6693.68896484375,46742.9140625,42.0,T
1697041064224492962,19,58663000000000,GPS1_Frame,42.33740997314453,-71.0525894165039,1.797070026397705,5.0,6693.689453125,46742.9140625,42.0,T
1697041065256653718,20,58664000000000,GPS1_Frame,42.337406158447266,-71.0525894165039,1.7974499464035034,5.0,6693.689453125,46742.91015625,42.0,T
1697041066289489591,21,58665000000000,GPS1_Frame,42.33740234375,-71.0525894165039,1.7980400323867798,5.0,6693.689453125,46742.90625,42.0,T
1697041067321654686,22,58666000000000,GPS1_Frame,42.337398529052734,-71.0525894165039,1.7987799644470215,5.0,6693.689453125,46742.90625,42.0,T
1697041068354067742,23,58667000000000,GPS1_Frame,42.33739471435547,-71.05259704589844,1.7934800386428833,5.0,6693.6904296875,46742.90234375,42.0,T
1697041069385903678,24,58668000000000,GPS1_Frame,42.3373908996582,-71.05259704589844,1.7875299453735352,5.0,6693.6923828125,46742.90234375,42.0,T
1697041070428726951,25,58669000000000,GPS1_Frame,42.33738708496094,-71.05259704589844,1.781149983406067,5.0,6693.69384765625,46742.8984375,42.0,T
1697041071461725656,26,58670000000000,GPS1_Frame,42.33738327026367,-71.05260467529297,1.77606999874115,5.0,6693.6953125,46742.89453125,42.0,T
1697041072494953226,27,58671000000000,GPS1_Frame,42.33738327026367,-71.05260467529297,1.776960015296936,5.0,6693.69482421875,46742.8984375,42.0,T
1697041073527467331,28,58672000000000,GPS1_Frame,42.33738327026367,-71.05259704589844,1.7826100587844849,5.0,6693.693359375,46742.8984375,42.0,T
1697041074562550844,29,58673000000000,GPS1_Frame,42.33738327026367,-71.05259704589844,1.7816599607467651,5.0,6693.693359375,46742.89453125,42.0,T
1697041075604931993,30,58674000000000,GPS1_Frame,42.337379455566406,-71.05259704589844,1.7820600271224976,5.0,6693.693359375,46742.890625,42.0,T
1697041076636643934,31,58675000000000,GPS1_Frame,42.33737564086914,-71.05259704589844,1.7833499908447266,5.0,6693.69287109375,46742.890625,42.0,T
1697041077670130172,32,58676000000000,GPS1_Frame,42.33737564086914,-71.05259704589844,1.7824000120162964,5.0,6693.69287109375,46742.890625,42.0,T
1697041078702514432,33,58677000000000,GPS1_Frame,42.337371826171875,-71.05259704589844,1.7786999940872192,5.0,6693.69384765625,46742.88671875,42.0,T
1697041079734441460,34,58678000000000,GPS1_Frame,42.33736801147461,-71.05260467529297,1.772320032119751,5.0,6693.6953125,46742.88671875,42.0,T
1697041080776610560,35,58679000000000,GPS1_Frame,42.337364196777344,-71.05260467529297,1.7691700458526611,5.0,6693.6962890625,46742.8828125,42.0,T
1697041081808967593,36,58680000000000,GPS1_Frame,42.337364196777344,-71.05260467529297,1.764840006828308,5.0,6693.69775390625,46742.8828125,42.0,T
1697041082842043866,37,58681000000000,GPS1_Frame,42.33736038208008,-71.0526123046875,1.7600300312042236,5.0,6693.69873046875,46742.8828125,42.0,T
1697041083877846367,38,58682000000000,GPS1_Frame,42.33736038208008,-71.0526123046875,1.7550400495529175,5.0,6693.69970703125,46742.87890625,42.0,T
1697041084910219540,39,58683000000000,GPS1_Frame,42.33735656738281,-71.0526123046875,1.7503399848937988,5.0,6693.701171875,46742.87890625,42.0,T
1697041085952430060,40,58684000000000,GPS1_Frame,42.33735275268555,-71.05261993408203,1.7460099458694458,5.0,6693.7021484375,46742.875,42.0,T
1697041086985058191,41,58685000000000,GPS1_Frame,42.33735275268555,-71.05261993408203,1.7421000003814697,5.0,6693.703125,46742.875,42.0,T
1697041088017995209,42,58686000000000,GPS1_Frame,42.33734893798828,-71.05261993408203,1.7380900382995605,5.0,6693.7041015625,46742.875,42.0,T
1697041089049929417,43,58687000000000,GPS1_Frame,42.33734893798828,-71.05261993408203,1.7344399690628052,5.0,6693.705078125,46742.87109375,42.0,T
1697041090082449592,44,58688000000000,GPS1_Frame,42.337345123291016,-71.05262756347656,1.730739951133728,5.0,6693.7060546875,46742.87109375,42.0,T
1697041091124492719,45,58689000000000,GPS1_Frame,42.337345123291016,-71.05262756347656,1.7270599603652954,5.0,6693.70703125,46742.87109375,42.0,T
1697041092157092582,46,58690000000000,GPS1_Frame,42.337345123291016,-71.05262756347656,1.7239199876785278,5.0,6693.70751953125,46742.87109375,42.0,T
1697041093189888919,47,58691000000000,GPS1_Frame,42.33734130859375,-71.05262756347656,1.7204099893569946,5.0,6693.70849609375,46742.8671875,42.0,T
1697041094221701788,48,58692000000000,GPS1_Frame,42.33734130859375,-71.0526351928711,1.7165900468826294,5.0,6693.7099609375,46742.87109375,42.0,T
1697041095254155386,49,58693000000000,GPS1_Frame,42.337345123291016,-71.0526351928711,1.7124899625778198,5.0,6693.7109375,46742.87109375,42.0,T
1697041096296201081,50,58694000000000,GPS1_Frame,42.33734130859375,-71.0526351928711,1.7088299989700317,5.0,6693.7119140625,46742.87109375,42.0,T
1697041097326894653,51,58695000000000,GPS1_Frame,42.33734130859375,-71.0526351928711,1.7049800157546997,5.0,6693.712890625,46742.87109375,42.0,T
1697041098358789111,52,58696000000000,GPS1_Frame,42.33734130859375,-71.05264282226562,1.7010999917984009,5.0,6693.7138671875,46742.87109375,42.0,T
1697041099390934445,53,58697000000000,GPS1_Frame,42.33734130859375,-71.05264282226562,1.6996099948883057,5.0,6693.71435546875,46742.8671875,42.0,T
1697041100424201041,54,58698000000000,GPS1_Frame,42.33734130859375,-71.05264282226562,1.6967099905014038,5.0,6693.71484375,46742.8671875,42.0,T
1697041101466399596,55,58699000000000,GPS1_Frame,42.337337493896484,-71.05264282226562,1.6943299770355225,5.0,6693.71533203125,46742.8671875,42.0,T
1697041102497914635,56,58700000000000,GPS1_Frame,42.337337493896484,-71.05264282226562,1.6919499635696411,5.0,6693.7158203125,46742.8671875,42.0,T
1697041103529881944,57,58701000000000,GPS1_Frame,42.337337493896484,-71.05264282226562,1.6896400451660156,5.0,6693.71630859375,46742.8671875,42.0,T
1697041104562212423,58,58702000000000,GPS1_Frame,42.337337493896484,-71.05264282226562,1.6861399412155151,5.0,6693.716796875,46742.86328125,42.0,T
1697041105596116892,59,58703000000000,GPS1_Frame,42.337337493896484,-71.05264282226562,1.6827600002288818,5.0,6693.71728515625,46742.86328125,42.0,T
1697041106637210273,60,58704000000000,GPS1_Frame,42.337337493896484,-71.05265045166016,1.6761200428009033,5.0,6693.7177734375,46742.8671875,42.0,T
1697041107669402486,61,58705000000000,GPS1_Frame,42.337337493896484,-71.05265045166016,1.6735800504684448,5.0,6693.71826171875,46742.86328125,42.0,T
1697041108701286426,62,58706000000000,GPS1_Frame,42.33733367919922,-71.05265045166016,1.6689399480819702,5.0,6693.71923828125,46742.86328125,42.0,T
1697041109733300375,63,58707000000000,GPS1_Frame,42.33734130859375,-71.05264282226562,1.676069974899292,5.0,6693.716796875,46742.8671875,42.0,T
1697041110766873842,64,58708000000000,GPS1_Frame,42.337337493896484,-71.05265045166016,1.6666500568389893,4.0,6693.7177734375,46742.8671875,42.0,T
1697041111808915308,65,58709000000000,GPS1_Frame,42.33734130859375,-71.05265045166016,1.659369945526123,5.0,6693.71826171875,46742.8671875,42.0,T
1697041112840692804,66,58710000000000,GPS1_Frame,42.337345123291016,-71.05265045166016,1.656690001487732,5.0,6693.71728515625,46742.87109375,42.0,T
1697041113873663490,67,58711000000000,GPS1_Frame,42.337345123291016,-71.05265045166016,1.6497199535369873,5.0,6693.7177734375,46742.87109375,42.0,T
1697041114905916622,68,58712000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.646209955215454,5.0,6693.71728515625,46742.87109375,42.0,T
1697041115936813173,69,58713000000000,GPS1_Frame,42.337345123291016,-71.05265045166016,1.636549949645996,5.0,6693.71875,46742.87109375,42.0,T
1697041116979366832,70,58714000000000,GPS1_Frame,42.337345123291016,-71.05265045166016,1.6308599710464478,5.0,6693.71923828125,46742.87109375,42.0,T
1697041118011304562,71,58715000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.6249300241470337,5.0,6693.71923828125,46742.87109375,42.0,T
1697041119043822828,72,58716000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.6190400123596191,4.0,6693.7197265625,46742.87109375,42.0,T
1697041120077976900,73,58717000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.6135599613189697,5.0,6693.72021484375,46742.875,42.0,T
1697041121109409222,74,58718000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.6080000400543213,5.0,6693.720703125,46742.875,42.0,T
1697041122152208651,75,58719000000000,GPS1_Frame,42.33734893798828,-71.05265045166016,1.6058100461959839,5.0,6693.720703125,46742.875,42.0,T
1697041123183733713,76,58720000000000,GPS1_Frame,42.33734893798828,-71.05265808105469,1.6024500131607056,5.0,6693.72119140625,46742.875,42.0,T
1697041124214978659,77,58721000000000,GPS1_Frame,42.33734893798828,-71.05265808105469,1.596850037574768,5.0,6693.7216796875,46742.875,42.0,T
1697041125247295565,78,58722000000000,GPS1_Frame,42.33734893798828,-71.05265808105469,1.5916600227355957,5.0,6693.72216796875,46742.875,42.0,T
1697041126278994770,79,58723000000000,GPS1_Frame,42.33734893798828,-71.05265808105469,1.5865399837493896,5.0,6693.72216796875,46742.875,42.0,T
1697041127312949121,80,58724000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.581570029258728,5.0,6693.72265625,46742.875,42.0,T
1697041128345351461,81,58725000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.5766600370407104,5.0,6693.72314453125,46742.875,42.0,T
1697041129376908863,82,58726000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.5719799995422363,5.0,6693.72314453125,46742.875,42.0,T
1697041130410346041,83,58727000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.5669100284576416,5.0,6693.7236328125,46742.875,42.0,T
1697041131442787650,84,58728000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.564229965209961,5.0,6693.72412109375,46742.875,42.0,T
1697041132475811865,85,58729000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.5596100091934204,5.0,6693.72412109375,46742.875,42.0,T
1697041133508236076,86,58730000000000,GPS1_Frame,42.33735275268555,-71.05265808105469,1.5552699565887451,5.0,6693.724609375,46742.875,42.0,T
1697041134539969255,87,58731000000000,GPS1_Frame,42.33735275268555,-71.05266571044922,1.5509699583053589,5.0,6693.724609375,46742.875,42.0,T
1697041135572279031,88,58732000000000,GPS1_Frame,42.33735275268555,-71.05266571044922,1.5468599796295166,5.0,6693.72509765625,46742.875,42.0,T
1697041136604318923,89,58733000000000,GPS1_Frame,42.33735275268555,-71.05266571044922,1.5425900220870972,5.0,6693.7255859375,46742.87890625,42.0,T
1697041137637926135,90,58734000000000,GPS1_Frame,42.33735656738281,-71.05266571044922,1.5384299755096436,5.0,6693.7255859375,46742.87890625,42.0,T
1697041138671076049,91,58735000000000,GPS1_Frame,42.33735656738281,-71.05266571044922,1.5344300270080566,5.0,6693.72607421875,46742.87890625,42.0,T
1697041139704202219,92,58736000000000,GPS1_Frame,42.33735656738281,-71.05266571044922,1.5306400060653687,5.0,6693.72607421875,46742.87890625,42.0,T
1697041140737294634,93,58737000000000,GPS1_Frame,42.33735656738281,-71.05266571044922,1.5269500017166138,5.0,6693.7265625,46742.87890625,42.0,T
1697041141769820030,94,58738000000000,GPS1_Frame,42.33735656738281,-71.05266571044922,1.52292001247406,5.0,6693.7265625,46742.87890625,42.0,T
