%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.indicator,field.utm_easting,field.utm_northing,field.zone,field.letter
1697039539805098138,1,57138000000000,GPS1_Frame,42.338165283203125,-71.05310821533203,0.2421800047159195,5.0,6693.93212890625,46743.421875,42.0,T
1697039540837893527,2,57139000000000,GPS1_Frame,42.338165283203125,-71.05310821533203,0.24212999641895294,5.0,6693.93212890625,46743.421875,42.0,T
1697039541870807269,3,57140000000000,GPS1_Frame,42.338165283203125,-71.05310821533203,0.24169999361038208,5.0,6693.93115234375,46743.421875,42.0,T
1697039542903669084,4,57141000000000,GPS1_Frame,42.33816146850586,-71.0531005859375,0.24142000079154968,5.0,6693.9296875,46743.421875,42.0,T
1697039543935193541,5,57142000000000,GPS1_Frame,42.338157653808594,-71.05309295654297,0.24118000268936157,5.0,6693.92724609375,46743.41796875,42.0,T
1697039544970557464,6,57143000000000,GPS1_Frame,42.33815383911133,-71.05309295654297,0.24120000004768372,5.0,6693.92333984375,46743.4140625,42.0,T
1697039546003342663,7,57144000000000,GPS1_Frame,42.3381462097168,-71.05308532714844,0.2406100034713745,5.0,6693.919921875,46743.41015625,42.0,T
1697039547035946652,8,57145000000000,GPS1_Frame,42.338138580322266,-71.05307006835938,0.23978999257087708,5.0,6693.91552734375,46743.40625,42.0,T
1697039548068995528,9,57146000000000,GPS1_Frame,42.338134765625,-71.05306243896484,0.23927000164985657,5.0,6693.91162109375,46743.40234375,42.0,T
1697039549101438230,10,57147000000000,GPS1_Frame,42.33812713623047,-71.05305480957031,0.23905999958515167,5.0,6693.9072265625,46743.3984375,42.0,T
1697039550136730961,11,57148000000000,GPS1_Frame,42.33811950683594,-71.05304718017578,0.23858000338077545,5.0,6693.90234375,46743.390625,42.0,T
1697039551170066872,12,57149000000000,GPS1_Frame,42.338111877441406,-71.05303955078125,0.2381799966096878,5.0,6693.89794921875,46743.38671875,42.0,T
1697039552203443304,13,57150000000000,GPS1_Frame,42.33810806274414,-71.05302429199219,0.23733000457286835,5.0,6693.89306640625,46743.3828125,42.0,T
1697039553236237418,14,57151000000000,GPS1_Frame,42.33810043334961,-71.05301666259766,0.23709000647068024,5.0,6693.88818359375,46743.37890625,42.0,T
1697039554270747911,15,57152000000000,GPS1_Frame,42.33809280395508,-71.05300903320312,0.23658999800682068,5.0,6693.88330078125,46743.375,42.0,T
1697039555303533029,16,57153000000000,GPS1_Frame,42.33808898925781,-71.05299377441406,0.23586000502109528,5.0,6693.87890625,46743.37109375,42.0,T
1697039556338117648,17,57154000000000,GPS1_Frame,42.33808135986328,-71.05298614501953,0.2347400039434433,5.0,6693.8740234375,46743.3671875,42.0,T
